City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
649,Alta Floresta,BR,72.12,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
651,Kandrian,PG,76.39,light rain,-6.2167,149.55,Kandrian Station
653,Christchurch,NZ,78.48,overcast clouds,-43.5333,172.6333,The George
654,Rio Cuarto,AR,76.68,clear sky,-33.1307,-64.3499,Grand Hotel Río Cuarto
655,Makasar,ID,78.85,scattered clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
658,Galveston,US,63.97,overcast clouds,29.3669,-94.9669,Comfort Inn & Suites Texas City
661,Brazzaville,CG,74.89,light rain,-4.2658,15.2832,Hotel Muesse
663,Villa Constitucion,AR,81.99,clear sky,-33.2278,-60.3297,HOTEL EMBAJADOR
666,Kailua,US,81.81,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
667,Mityana,UG,67.59,overcast clouds,0.4175,32.0228,Green Valley Hotel
668,Imbituba,BR,71.82,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
670,Massaguet,TD,67.69,clear sky,12.4755,15.4365,Alwatane
675,Mount Pleasant,US,68.18,clear sky,32.7941,-79.8626,Best Western Patriots Point
679,Bull Savanna,JM,74.25,scattered clouds,17.8868,-77.5902,Big Red's
680,Milledgeville,US,68.77,heavy intensity rain,33.0801,-83.2321,Hampton Inn Milledgeville
